ID,Name,Type,Usage,Brand,Capacity,Desc
0,CRUCIAL 1TB PORTABLE X6 SSD (CT1000X6SSD9),SSD,External,CRUCIAL,1TB,Crucial 1TB Portable X6 SSD providing high-speed and portable storage (CT1000X6SSD9).
1,CRUCIAL 1TB SSD BX500 2.5 (CT1000BX500SSD1),SSD,Internal,CRUCIAL,1TB,"Crucial 1TB SSD BX500 2.5"" for efficient and reliable storage in a standard form factor (CT1000BX500SSD1)."
2,CRUCIAL 1TB X8 PORTABLE DRIVE (CT1000X8SSD9),SSD,External,CRUCIAL,1TB,Crucial 1TB X8 Portable Drive offering portable and high-capacity storage (CT1000X8SSD9).
3,CRUCIAL 240GB SSD BX500 2.5 (CT240BX500SSD1),SSD,Internal,CRUCIAL,240GB,"Crucial 240GB SSD BX500 2.5"" providing compact and reliable storage (CT240BX500SSD1)."
4,CRUCIAL 2TB P3 NVME (CT2000P3SSD8),SSD,Internal,CRUCIAL,2TB,Crucial 2TB P3 NVMe delivering high-speed and high-capacity storage (CT2000P3SSD8).
5,CRUCIAL 500GB BX500 SSD,SSD,Internal,CRUCIAL,500GB,Crucial 500GB BX500 SSD for efficient and moderate-capacity storage.
6,CRUCIAL 500GB MX500 SSD(CT500MX500SSD1),SSD,Internal,CRUCIAL,500GB,Crucial 500GB MX500 SSD delivering reliable and moderate-capacity storage (CT500MX500SSD1).
7,CRUCIAL 500GB P3 NVME SSD (CT500P3SSD8),SSD,Internal,CRUCIAL,500GB,Crucial 500GB P3 NVMe SSD offering high-speed and compact storage (CT500P3SSD8).
8,CRUCIAL 500GB PORTABLE X6 SSD (CT500BX6SSD9),SSD,External,CRUCIAL,500GB,Crucial 500GB Portable X6 SSD for portable and moderate-capacity storage (CT500BX6SSD9).
9,SEAGATE 10TB ONE TOUCH HUB 3.5 (STLC10000400),SSD,External,SEAGATE,10TB,"Seagate 10TB One Touch Hub 3.5"" providing versatile and high-capacity storage (STLC10000400)."
10,SEAGATE 12TB ONE TOUCH (STLC12000400),SSD,External,SEAGATE,12TB,Seagate 12TB One Touch offering convenient and extensive storage (STLC12000400).
11,SEAGATE 16 TB EXPANSION (STKP16000402),SSD,External,SEAGATE,16TB,Seagate 16TB Expansion providing substantial and high-capacity storage (STKP16000402).
12,SEAGATE 18TB ONE TOUCH HUB(STLC18000402),SSD,External,SEAGATE,18TB,Seagate 18TB One Touch Hub delivering extensive and high-capacity storage (STLC18000402).
13,"SEAGATE 1TB EXPANSION 2.5"" HDD - STKM1000400",HDD,External,SEAGATE,1TB,"Seagate 1TB Expansion 2.5"" HDD for versatile and moderate-capacity storage (STKM1000400)."
14,SEAGATE 1TB ONE TOUCH EXTERNAL DRIVE (STKY1000400),HDD,External,SEAGATE,1TB,Seagate 1TB One Touch External Drive offering convenient and moderate-capacity storage (STKY1000400).
15,"SEAGATE 2TB EXPANSION 2.5"" STKM2000400",HDD,External,SEAGATE,2TB,"Seagate 2TB Expansion 2.5"" providing versatile and moderate-capacity storage (STKM2000400)."
16,SEAGATE 2TB ONE TOUCH EXT DRIVES (STKY2000400),HDD,External,SEAGATE,2TB,Seagate 2TB One Touch External Drives delivering convenient and moderate-capacity storage (STKY2000400).
17,SEAGATE 2TB ULTRA TOUCH Ext -STMA2000400,HDD,External,SEAGATE,2TB,Seagate 2TB Ultra Touch External Drive for convenient and moderate-capacity storage (STMA2000400).
18,"SEAGATE 4TB EXP 2.5"" - STKM4000400",HDD,External,SEAGATE,4TB,"Seagate 4TB Expansion 2.5"" delivering substantial and moderate-capacity storage (STKM4000400)."
19,SEAGATE 4TB ONE TOUCH EXT DRIVES 2.5 (STKZ4000400),HDD,External,SEAGATE,4TB,"Seagate 4TB One Touch External Drives 2.5"" offering convenient and moderate-capacity storage (STKZ4000400)."
20,SEAGATE 4TB ONE TOUCH HUB EXT 3.5 (STLC4000400),HDD,External,SEAGATE,4TB,"Seagate 4TB One Touch Hub External 3.5"" providing versatile and high-capacity storage (STLC4000400)."
21,SEAGATE 5TB ONE TOUCH EXT DRIVES 2.5 (STKZ5000400),HDD,External,SEAGATE,5TB,"Seagate 5TB One Touch External Drives 2.5"" offering convenient and high-capacity storage (STKZ5000400)."
22,SEAGATE 6TB EXPANSION USB 3.5 (STKP6000400),HDD,External,SEAGATE,6TB,"Seagate 6TB Expansion USB 3.5"" delivering substantial and versatile storage (STKP6000400)."
